MUNI_CD,MUNI_NM,MUNI_UF_SG,MUNI_DT_CRIACAO,MUNI_DT_EXTINCAO
391,NOVA ESPERANÇA DO PIRIÁ,PA,1/1/1980,
392,SÃO MIGUEL DA BAIXA GRANDE,PI,1/1/1997,
393,SÃO JOÃO DE PIRABAS,PA,1/1/1989,
394,SÃO MIGUEL DO FIDALGO,PI,1/1/1997,
395,TAILÂNDIA,PA,1/1/1989,
396,SEBASTIÃO BARROS,PI,1/1/1997,
397,TUCUMÃ,PA,1/1/1989,
398,SEBASTIÃO LEAL,PI,1/1/1997,
399,URUARÁ,PA,1/1/1989,
400,SUSSUAPARA,PI,1/1/1997,
401,ABAETETUBA,PA,1/1/1980,
402,TAMBORIL DO PIAUÍ,PI,1/1/1997,
403,ACARÁ,PA,1/1/1980,
404,TANQUE DO PIAUÍ,PI,1/1/1997,
405,AFUÁ,PA,1/1/1980,
406,VERA MENDES,PI,1/1/1997,
407,ALENQUER,PA,1/1/1980,
408,VILA NOVA DO PIAUÍ,PI,1/1/1997,
409,ALMEIRIM,PA,1/1/1980,
410,WALL FERRAZ,PI,1/1/1997,
411,ALTAMIRA,PA,1/1/1980,
412,BODÓ,RN,1/1/1997,
413,ANAJÁS,PA,1/1/1980,
414,CAIÇARA DO NORTE,RN,1/1/1997,
415,ANANINDEUA,PA,1/1/1980,
416,FERNANDO PEDROZA,RN,1/1/1997,
417,AUGUSTO CORRÊA,PA,1/1/1980,
418,ITAJÁ,RN,1/1/1997,
419,AVEIRO,PA,1/1/1980,
420,MAJOR SALES,RN,1/1/1997,
421,BAGRE,PA,1/1/1980,
422,RIO DO FOGO,RN,1/1/1997,
423,BAIÃO,PA,1/1/1980,
424,SANTA MARIA,RN,1/1/1997,
425,BARCARENA,PA,1/1/1980,
426,PORTO DO MANGUE,RN,1/1/1997,
427,BELÉM,PA,1/1/1980,
428,TIBAU,RN,1/1/1997,
429,BENEVIDES,PA,1/1/1980,
430,SÃO MIGUEL DO GOSTOSO,RN,1/1/1997,
431,BONITO,PA,1/1/1980,
432,SERRINHA DOS PINTOS,RN,1/1/1997,
433,BRAGANÇA,PA,1/1/1980,
434,TENENTE LAURENTINO CRUZ,RN,1/1/1997,
435,BREVES,PA,1/1/1980,
